event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
Northwest Challenge 2017,College,136778,Oregon State,10,Brigham Young,15,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136759,Brigham Young,15,Western Washington,8,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136766,Washington,15,Oregon State,9,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136747,Brigham Young,15,Brown,10,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136777,Western Washington,12,British Columbia,14,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136769,Brown,13,British Columbia,14,2017-03-24,Men,0,2019
Northwest Challenge 2017,College,136768,California-San Diego,8,Northeastern,13,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136773,Utah,8,British Columbia,15,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136774,California-San Diego,9,Brigham Young,12,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136755,Northeastern,11,Western Washington,9,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,136801,British Columbia,15,Victoria,12,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,139750,Victoria,12,Oregon State,13,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139751,Northeastern,9,British Columbia,13,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139752,Northeastern,5,Oregon State,7,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139754,Victoria,11,Utah,8,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139753,California-San Diego,6,Utah,10,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139794,Brigham Young,15,Victoria,4,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136307,Portland,15,Puget Sound,6,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136308,San Diego State University,15,Western Washington B,8,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136310,Portland,15,San Diego State University,13,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136312,Western Washington B,10,Boise State,15,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136314,San Diego State University,14,Boise State,11,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136315,Puget Sound,13,Western Washington B,9,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,136313,Portland,15,Washington State,5,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,136309,Washington State,10,Boise State,14,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,136311,Puget Sound,15,Washington State,14,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,138400,Montana State University,15,Idaho,5,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,138401,Humboldt State,15,Washington B,8,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,138402,Montana State University,15,Humboldt State,4,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,138403,Whitman,14,Washington B,8,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,138404,Washington B,10,Idaho,15,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,138405,Whitman,15,Humboldt State,8,2017-03-25,Men,0,2019
Northwest Challenge 2017,College,139603,Washington B,11,Western Washington B,4,2017-03-26,Men,0,2019
Northwest Challenge 2017,College,139604,Washington State,10,Western Washington B,4,2017-03-27,Men,0,2019
Northwest Challenge 2017,College,139605,Washington State,8,Washington B,9,2017-03-27,Men,0,2019
Northwest Challenge 2017,College,136324,Portland,8,Montana State University,9,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,136322,Portland,11,Whitman,9,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,136323,San Diego State University,4,Montana State University,9,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,136325,Whitman,8,San Diego State University,13,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,136326,Humboldt State,7,Boise State,8,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,138410,Puget Sound,4,Humboldt State,11,2017-03-26,Men,0,2017
Northwest Challenge 2017,College,138411,Idaho,7,Boise State,11,2017-03-26,Men,0,2017
